U97509;TransparentCalls;0.90;658;48;7
US;27;1182;E-Voice;0.68;936;59;46
GB;91;1342;TransparentCalls;0.85;687;52;24
FR;97;1101;TransparentCalls;0.78;52;47;58
BL;59;435;E-Voice;0.71;603;76;28
AT;85;595;TransparentCalls;0.79;467;18;39
BG;80;799;E-Voice;0.82;115;24;28
DK;69;1237;JustPhone;0.64;427;91;51
CA;56;1101;JustPhone;0.97;7;85;9
ES;45;626;E-Voice;0.71;154;72;28
CH;41;1467;JustPhone;0.71;835;14;56
TR;35;1184;TransparentCalls;0.94;815;20;59
PE;80;1219;JustPhone;0.63;669;66;19
NZ;10;1901;JustPhone;0.69;875;30;54
MC;48;1147;E-Voice;0.82;780;38;7
